"Reason","Keep","Removed","Guid","Hash","Size","Ext"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Sprites\Player 1\walk\def-walk_0009.png","Assets\RecursosUnificados\BranchPedrao\Sprites\Player 1\walk\png\def-walk_0009.png","fd11e5dff669a9644a8935cc7dba6600","E4F1E96CD16812B66B90ADA8CB06349C5AA4D2A3D53A3D907F868A28E2E9AF4E","6813",".png"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Sprites\Player 1\walk\def-walk_0010.png","Assets\RecursosUnificados\BranchPedrao\Sprites\Player 1\walk\png\def-walk_0010.png","52c483851c172644db925ace3ab4c123","7BA284E6ED4F1CD1A08913A697FA018DAF1B8406B636DAD12A29FB489CAD5544","7819",".png"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Sprites\Player 1\walk\def-walk_0011.png","Assets\RecursosUnificados\BranchPedrao\Sprites\Player 1\walk\png\def-walk_0011.png","5f06f1c844b04c0469c98ce3097287f5","CAC1A815FFCEFBD85147D01498833CA60479A34C3D2137392BDFF8A7B6AD86C9","7404",".png"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Sprites\Player 1\walk\def-walk_0012.png","Assets\RecursosUnificados\BranchPedrao\Sprites\Player 1\walk\png\def-walk_0012.png","467815dedb309654ab966d07f17e6b3d","9A7F6F0E3A3A1B2BD2F37C52492471A2CF1FCFD16CDE7A2BBB336EDCE3E5509B","7650",".png"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Sprites\Player 1\walk\def-walk_0013.png","Assets\RecursosUnificados\BranchPedrao\Sprites\Player 1\walk\png\def-walk_0013.png","22120160c37fd01468e985a21f239c07","9B400A1ECA6D26E9AA70B75202C6BADE17125D5BC8136CA85113551E30080074","7171",".png"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\_Recovery\0 (1).unity","Assets\RecursosUnificados\ChegaComJhon\_Recovery\0 (1).unity","9d1121b889322574091745e72cf5d520","D80B3C05327652DAA6E2D268F9AB9B38E73438C7F6A24948DBCECDBA3DFF3865","24630",".unity"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\_Recovery\0 (2).unity","Assets\RecursosUnificados\ChegaComJhon\_Recovery\0 (2).unity","f75a6519d566e854d9c76314f309626c","F36E0AC3C99063BA82554D04682AAEA85B2B6DB7428D88225AC56250F91551B9","38846",".unity"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\_Recovery\0 (3).unity","Assets\RecursosUnificados\ChegaComJhon\_Recovery\0 (3).unity","e376cc59f4e574b4c81c2dee096519bd","233D7B91FD0D9DFCCAC25969E36145A324B27B2E914D4410AD8730E7CF5A77DE","38848",".unity"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\_Recovery\0 (3).unity","Assets\RecursosUnificados\ChegaComJhon\_Recovery\0 (4).unity","7a2ddf393523d6344b02ee8088ece313","233D7B91FD0D9DFCCAC25969E36145A324B27B2E914D4410AD8730E7CF5A77DE","38848",".unity"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\_Recovery\0.unity","Assets\RecursosUnificados\ChegaComJhon\_Recovery\0.unity","40a3c0eabd66c1c43a9c20230091cb14","8412574E039D364CA1CFE56BA24FA26459BA8BC96BF45C0626174B3D2D067E07","17177",".unity"
