"Origin","Path","Name","Ext","Size","Hash"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Scenes\CenaDoCT.unity","CenaDoCT.unity",".unity","13386","C4CB7DB7E09BDDC3E49B5986D4581D142E5D088152D9858985A05C912297C126"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Settings\Lit2DSceneTemplate.scenetemplate","Lit2DSceneTemplate.scenetemplate",".scenetemplate","3942809","CA928761BF976C878D54DF524A3742C5F1BCA53A013B4061ABD2C752C8A212AA"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Settings\Renderer2D.asset","Renderer2D.asset",".asset","3629","900455794D0D788504847C3AA54E03A0374FD3635AFA295ED05C2F646F974705"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Settings\UniversalRP.asset","UniversalRP.asset",".asset","4733","8115A6A750C739DCBCBF71737D1733EAFE068AD9FBDC3D4CA0DEF2723F47311F"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Settings\Scenes\URP2DSceneTemplate.unity","URP2DSceneTemplate.unity",".unity","9881","F6FB3E91AAA90417E2920B7F903066833B3B9AEA72DDCB5E46B91AFA729C2E90"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\ANJO\IDLE\IDLE-MASC.gif","IDLE-MASC.gif",".gif","46151","720102723B0CA6D7016DCA2184F92D1CEAF710635649AFD83041AB2DB286BB80"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\ANJO\IDLE\IDLE.gif","IDLE.gif",".gif","68856","5C4E3EE1F1F196EC305C3B3FD2C4BC49516AD2A7A1DF395C1044C54442D2AC3C"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\ANJO\IDLE\SURGE.gif","SURGE.gif",".gif","62424","578EF39C8F20D98F15086E76D65981D906448C9877EF165C837CB686D26D89AB"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\ANJO\IDLE\DISSPAR\dissipar.gif","dissipar.gif",".gif","50640","647FA4F7394B39129F5E71E7A273B7EA5FE614321A6603B10442E5DF32577545"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\ANJO\IDLE\DISSPAR\DISSPAR_0001.png","DISSPAR_0001.png",".png","4260","2D8DAE719CBD1D26E47A1CA4B946A329F053D91EFCDA7BA7F2AC32987C9884B8"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\ANJO\IDLE\DISSPAR\DISSPAR_0002.png","DISSPAR_0002.png",".png","5246","1FC6C87D860591E88CE2ACA0F0197BCC5F1C6F6436950F4A68FB7714C5BEDC03"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\ANJO\IDLE\DISSPAR\DISSPAR_0003.png","DISSPAR_0003.png",".png","6643","1A5D2BD4FC413E376BBF469DD08C1EEAFFCB5BB26BF21012D60458CD90725DDA"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\ANJO\IDLE\DISSPAR\DISSPAR_0004.png","DISSPAR_0004.png",".png","9634","EB65B48E2E971CC216E62C6F670F56E83B7F81FB94BA8497073F895BAF590564"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\ANJO\IDLE\DISSPAR\DISSPAR_0005.png","DISSPAR_0005.png",".png","8633","E574820DD2268D9292ABE880D6D1F5077465DDCCC3647244371E7DF8718E2077"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\ANJO\IDLE\DISSPAR\DISSPAR_0006.png","DISSPAR_0006.png",".png","11061","9045A5DAE332C7330B8107A207B751545EEC84473474DE0EF2D1917DA1A64948"
